exp,dataset,type,metric,n,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,wilcox_p,t_p,sign_p,n_pos,n_neg,sd_OOB,sd_SB,sd_ratio,PM_p_two
exp2,friedman2,synthetic,EB1,100,243.74596851114384,243.67557697629894,-0.07039153484496126,0.5636707437777588,-0.1248805896385406,0.21073379493731736,0.21468101220064417,0.19334790449564243,43,57,1.8512741057112527,1.8588764497972508,1.0041065469789399,0.8928123364860063
exp2,friedman2,synthetic,EB2,100,243.74596851114384,243.67557697629894,-0.07039153484496126,0.5636707437777588,-0.1248805896385406,0.21073379493731736,0.21468101220064417,0.19334790449564243,43,57,1.8512741057112527,1.8588764497972508,1.0041065469789399,0.8928123364860063
exp2,friedman3,synthetic,EB1,100,0.1546631324163571,0.1545847731180293,-7.835929832782251e-05,0.0008410055085455383,-0.09317334729868723,0.37688545729469336,0.35374093900991066,0.48411841360729146,46,54,0.0030948144661108895,0.0031051101684158294,1.0033267591378032,0.9028876175427349
exp2,friedman3,synthetic,EB2,100,0.1546631324163571,0.1545847731180293,-7.835929832782251e-05,0.0008410055085455383,-0.09317334729868723,0.37688545729469336,0.35374093900991066,0.48411841360729146,46,54,0.0030948144661108895,0.0031051101684158294,1.0033267591378032,0.9028876175427349
exp3,ringnorm,synthetic,R1,100,0.0,0.0,0.0,0.0,,1.0,,1.0,0,0,0.0,0.0,,
exp3,ringnorm,synthetic,R2,100,0.6145392914564828,0.6183286739552389,0.0037893824987561353,0.04099747592187847,0.09242965362006386,0.27422378711525397,0.3575793853460408,0.2712530240738354,56,44,0.03244175872942009,0.0295541956812146,0.9109924011121235,0.353719578565137
exp3,ringnorm,synthetic,R3,100,0.6102844420148635,0.6140152616554466,0.0037308196405831506,0.04043593645306203,0.0922649496423529,0.27573562109341054,0.3584330637329667,0.2712530240738354,56,44,0.032012406927987576,0.029157552203561768,0.9108203662771172,0.3527046766020041
exp3,ringnorm,synthetic,R4,100,43.40315958400001,43.40674295199999,0.0035833680000000355,0.20290718854771153,0.017660133313401282,0.7103849915044168,0.8601823220075281,0.48411841360729146,54,46,0.4321979698009683,0.42558156975476197,0.9846912745812914,0.7402907648985977
exp3,threenorm,synthetic,R1,100,0.0,0.0,0.0,0.0,,1.0,,1.0,0,0,0.0,0.0,,
exp3,threenorm,synthetic,R2,100,0.023782050760760384,0.02449531133205395,0.000713260571293562,0.007771702996737255,0.09177661210072048,0.36402735891799287,0.36097181090173003,0.6172994135892524,53,47,0.0053101837239072245,0.005140037459323114,0.9679584975905661,0.7464260485994281
exp3,threenorm,synthetic,R3,100,0.023765105789651932,0.024477553656211223,0.000712447866559292,0.007760056612645061,0.0918096222904294,0.36402735891799287,0.3607998389803109,0.6172994135892524,53,47,0.005302762538322818,0.005131739307151046,0.9677482765000704,0.7447935571488764
exp3,threenorm,synthetic,R4,100,62.838161967999994,62.83754381279999,-0.0006181552000000323,0.13066856769224927,-0.004730710766310013,0.9725715413852294,0.962363764829713,0.36820161732669615,45,55,0.3622334234429849,0.3613567512402259,0.9975798141584331,0.9462984182733796
exp3,twonorm,synthetic,R1,100,0.0,0.0,0.0,0.0,,1.0,,1.0,0,0,0.0,0.0,,
exp3,twonorm,synthetic,R2,100,0.0192125423902675,0.01950176711752431,0.00028922472725680706,0.005529143480820905,0.05230913761960582,0.6229452589763704,0.6020794867413166,0.7643534344026676,52,48,0.0036630901225413537,0.0039469434414965004,1.0774901270401223,0.4606898625296667
exp3,twonorm,synthetic,R3,100,0.01920154360153798,0.019490940812423873,0.0002893972108858899,0.005523046792575354,0.052398109549773746,0.6253783479405848,0.6014628060816524,0.7643534344026676,52,48,0.003658967275530929,0.0039428695507288895,1.077590821075809,0.46013056664086416
exp3,twonorm,synthetic,R4,100,34.1480207456,34.1563125072,0.008291761599999746,0.10732816721654831,0.07725615572350225,0.37874492892909406,0.4416224026804898,0.48411841360729146,54,46,0.2866378966435843,0.28469403522319275,0.9932184074640744,0.855509928098876
exp3,waveform,synthetic,R1,100,0.35655008270709615,0.35655008270709615,0.0,0.0,,1.0,,1.0,0,0,0.0436440363528017,0.0436440363528017,1.0,
