dataset,type,metric,n_runs,mean_diff,sd_diff,wilcox_p,t_p,ci_lo,ci_hi,cohens_dz,n_pos,n_neg,n_zero,sign_p,OOB,SB_OOB,exp,seed
diabetes,real,E1_B,50,0.00012259785464666383,0.003640391487787445,0.9461255883660367,0.8127708826705313,-0.0009119899589559499,0.0011571856682492776,0.033677107272101735,25,25,0,1.0,0.0032497905883664222,0.0033723884430130863,exp1,2
diabetes,real,E2_B,50,0.00012259785464666383,0.003640391487787445,0.9461255883660367,0.8127708826705313,-0.0009119899589559499,0.0011571856682492776,0.033677107272101735,25,25,0,1.0,0.0032497905883664222,0.0033723884430130863,exp1,2
vehicle,real,E1_B,50,0.00039210523085750527,0.0018361797811343283,0.13458638473949358,0.13746954049317517,-0.00012973128906570836,0.0009139417507807189,0.2135440303210812,30,20,0,0.20263875106454096,0.0029257225845202945,0.0033178278153777998,exp1,2
vehicle,real,E2_B,50,0.000596400211013481,0.0021907225011582863,0.09115740095353596,0.060041987739147575,-2.619623507944455e-05,0.0012189966571064064,0.2722390493082306,29,21,0,0.3222363203575473,0.003420414237787809,0.00401681444880129,exp1,2
satellite,real,E1_B,50,1.2231444371941115e-05,0.00032462738167786934,0.8696479052043413,0.7910286531971704,-8.002663670872148e-05,0.0001044895254526037,0.037678412426954445,26,24,0,0.8877248273407867,0.0017034977296896386,0.0017157291740615796,exp1,2
satellite,real,E2_B,50,1.5731983608654326e-07,0.0004265072258548086,0.9230974354523004,0.9979295439377112,-0.00012105469259805715,0.00012136933227023023,0.00036885620348223126,26,24,0,0.8877248273407867,0.002291319969339374,0.0022914772891754606,exp1,2
dna,real,E1_B,50,-0.0001556440640693363,0.0010788769931303179,0.2350883014325085,0.31268815740111855,-0.0004622575129836609,0.00015096938484498827,-0.14426488381936975,21,29,0,0.3222363203575473,0.0060780067011382425,0.005922362637068906,exp1,2
dna,real,E2_B,50,-0.0001632088458586627,0.0011218559127574533,0.2839384093519745,0.3086688357098616,-0.00048203676858362294,0.00015561907686629747,-0.1454811121488011,22,28,0,0.47988766169832847,0.006583476836232085,0.0064202679903734225,exp1,2
friedman1,synthetic,EB1,50,-0.0008203268805730434,0.07852972112247447,0.8544745296341687,0.941418633168621,-0.02313822668653689,0.021497572925390805,-0.010446068938582714,26,24,0,0.8877248273407867,2.0971689506340954,2.096348623753522,exp2,2
friedman1,synthetic,EB2,50,-0.0008203268805730434,0.07852972112247447,0.8544745296341687,0.941418633168621,-0.02313822668653689,0.021497572925390805,-0.010446068938582714,26,24,0,0.8877248273407867,2.0971689506340954,2.096348623753522,exp2,2
friedman2,synthetic,EB1,50,0.30073190088684726,4.0786480161259755,0.8772529937158152,0.6044557872605185,-0.8584070399700521,1.4598708417437463,0.0737332321146191,23,27,0,0.6718110337653662,242.1674549055751,242.46818680646197,exp2,2
friedman2,synthetic,EB2,50,0.30073190088684726,4.0786480161259755,0.8772529937158152,0.6044557872605185,-0.8584070399700521,1.4598708417437463,0.0737332321146191,23,27,0,0.6718110337653662,242.1674549055751,242.46818680646197,exp2,2
friedman3,synthetic,EB1,50,0.001701477125857,0.00619859729279429,0.07893541504115426,0.05802610309194652,-6.014473323948169e-05,0.0034630989849534816,0.27449389684258463,30,20,0,0.20263875106454096,0.15142491925333287,0.15312639637918987,exp2,2
friedman3,synthetic,EB2,50,0.001701477125857,0.00619859729279429,0.07893541504115426,0.05802610309194652,-6.014473323948169e-05,0.0034630989849534816,0.27449389684258463,30,20,0,0.20263875106454096,0.15142491925333287,0.15312639637918987,exp2,2
Boston,real,EB1,50,0.021791281713741652,0.10895670820035236,0.08932350851444419,0.1636231537092684,-0.009173872141964301,0.052756435569447604,0.1999994499987214,31,19,0,0.11892045255943624,5.519737029028981,5.541528310742723,exp2,2
Boston,real,EB2,50,0.021791281713741652,0.10895670820035236,0.08932350851444419,0.1636231537092684,-0.009173872141964301,0.052756435569447604,0.1999994499987214,31,19,0,0.11892045255943624,5.519737029028981,5.541528310742723,exp2,2
